Protein	dim1
362663.ECP_0969	682
362663.ECP_0823	683
362663.ECP_0879	684
362663.ECP_0877	685
362663.ECP_0135	686
362663.ECP_1720	687
362663.ECP_0108	688
362663.ECP_0107	689
362663.ECP_2259	690
362663.ECP_2260	691
362663.ECP_3529	692
362663.ECP_0106	693
362663.ECP_1885	694
362663.ECP_0136	695
362663.ECP_2261	696
362663.ECP_4053	697
362663.ECP_4052	698
362663.ECP_4054	699
362663.ECP_4115	700
362663.ECP_4051	701
362663.ECP_0657	702
362663.ECP_3477	703
362663.ECP_3481	704
362663.ECP_2944	705
362663.ECP_3480	706
362663.ECP_3479	707
362663.ECP_3123	708
362663.ECP_0865	709
362663.ECP_0311	710
362663.ECP_2075	711
362663.ECP_0312	712
362663.ECP_0205	713
362663.ECP_0206	714
362663.ECP_0546	715
362663.ECP_4420	716
362663.ECP_0864	717
362663.ECP_4419	718
362663.ECP_4418	719
362663.ECP_0021	720
362663.ECP_0020	721
362663.ECP_1192	722
362663.ECP_4166	723
362663.ECP_0547	724
362663.ECP_0777	725
362663.ECP_1191	726
362663.ECP_1190	727
362663.ECP_1189	728
362663.ECP_3618	729
362663.ECP_4181	730
362663.ECP_3617	731
362663.ECP_4417	732
362663.ECP_0775	733
362663.ECP_0776	734
362663.ECP_0772	735
362663.ECP_4599	736
362663.ECP_0844	737
362663.ECP_4414	738
362663.ECP_4413	739
362663.ECP_4416	740
362663.ECP_4781	741
362663.ECP_0766	742
362663.ECP_3713	743
362663.ECP_0845	744
362663.ECP_4180	745
362663.ECP_0846	746
362663.ECP_0843	747
362663.ECP_2915	748
362663.ECP_0842	749
362663.ECP_0327	750
362663.ECP_2844	751
362663.ECP_0841	752
362663.ECP_3518	753
362663.ECP_3520	754
362663.ECP_2711	755
362663.ECP_1455	756
362663.ECP_4415	757
362663.ECP_4412	758
362663.ECP_4431	759
362663.ECP_1456	760
362663.ECP_3519	761
362663.ECP_3516	762
362663.ECP_3515	763
362663.ECP_3945	764
362663.ECP_3944	765
362663.ECP_1989	766
362663.ECP_1990	767
362663.ECP_3517	768
362663.ECP_4429	769
362663.ECP_0668	770
362663.ECP_4430	771
362663.ECP_4428	772
362663.ECP_4426	773
362663.ECP_1319	774
362663.ECP_2878	775
362663.ECP_4474	776
362663.ECP_2876	777
362663.ECP_4427	778
362663.ECP_4473	779
362663.ECP_0705	780
362663.ECP_1991	781
362663.ECP_0040	782
362663.ECP_0037	783
362663.ECP_0038	784
362663.ECP_1320	785
362663.ECP_4597	786
362663.ECP_0157	787
362663.ECP_0156	788
362663.ECP_4598	789
362663.ECP_2078	790
362663.ECP_2081	791
362663.ECP_0036	792
362663.ECP_2473	793
362663.ECP_2471	794
362663.ECP_2459	795
362663.ECP_2468	796
362663.ECP_2466	797
362663.ECP_0039	798
362663.ECP_0035	799
362663.ECP_2060	800
362663.ECP_2061	801
362663.ECP_2079	802
362663.ECP_2077	803
362663.ECP_2460	804
362663.ECP_2464	805
362663.ECP_2461	806
362663.ECP_2463	807
362663.ECP_2458	808
362663.ECP_0328	809
362663.ECP_0295	810
362663.ECP_0297	811
362663.ECP_1149	812
362663.ECP_2760	813
362663.ECP_3214	814
362663.ECP_0293	815
362663.ECP_0296	816
362663.ECP_0044	817
362663.ECP_0042	818
362663.ECP_0294	819
362663.ECP_4458	820
362663.ECP_4165	821
362663.ECP_0041	822
362663.ECP_0043	823
362663.ECP_4770	824
362663.ECP_0660	825
362663.ECP_2494	826
362663.ECP_1150	827
362663.ECP_2462	828
362663.ECP_2472	829
362663.ECP_2474	830
362663.ECP_2493	831
362663.ECP_0779	832
362663.ECP_3545	833
362663.ECP_2616	834
362663.ECP_3531	835
362663.ECP_4457	836
362663.ECP_3546	837
362663.ECP_0658	838
362663.ECP_2791	839
362663.ECP_2818	840
362663.ECP_2822	841
362663.ECP_2820	842
362663.ECP_3543	843
362663.ECP_2810	844
362663.ECP_3542	845
362663.ECP_3544	846
362663.ECP_2819	847
362663.ECP_2814	848
362663.ECP_2823	849
362663.ECP_2815	850
362663.ECP_2821	851
362663.ECP_0548	852
362663.ECP_0549	853
362663.ECP_1644	854
362663.ECP_1646	855
362663.ECP_1647	856
362663.ECP_2469	857
362663.ECP_2684	858
362663.ECP_4454	859
362663.ECP_0884	860
362663.ECP_2627	861
362663.ECP_2622	862
362663.ECP_2658	863
362663.ECP_2626	864
362663.ECP_2680	865
362663.ECP_2687	866
362663.ECP_2682	867
362663.ECP_4516	868
362663.ECP_3532	869
362663.ECP_0570	870
362663.ECP_3215	871
362663.ECP_4515	872
362663.ECP_2890	873
362663.ECP_4365	874
362663.ECP_0573	875
362663.ECP_2744	876
362663.ECP_2743	877
362663.ECP_2319	878
362663.ECP_2316	879
362663.ECP_2318	880
362663.ECP_2317	881
362663.ECP_2327	882
362663.ECP_0574	883
362663.ECP_2905	884
362663.ECP_2824	885
362663.ECP_2683	886
362663.ECP_2685	887
362663.ECP_2686	888
362663.ECP_2681	889
362663.ECP_2623	890
362663.ECP_3627	891
362663.ECP_2323	892
362663.ECP_2320	893
362663.ECP_2321	894
362663.ECP_2324	895
362663.ECP_1645	896
362663.ECP_3094	897
362663.ECP_4135	898
362663.ECP_3240	899
362663.ECP_1380	900
362663.ECP_4136	901
362663.ECP_2322	902
362663.ECP_2326	903
362663.ECP_2325	904
362663.ECP_0744	905
362663.ECP_0743	906
362663.ECP_0984	907
362663.ECP_0491	908
362663.ECP_0492	909
362663.ECP_2281	910
362663.ECP_2283	911
362663.ECP_2285	912
362663.ECP_4261	913
362663.ECP_3324	914
362663.ECP_3325	915
362663.ECP_2282	916
362663.ECP_2315	917
362663.ECP_0489	918
362663.ECP_0983	919
362663.ECP_0490	920
362663.ECP_3316	921
362663.ECP_3326	922
362663.ECP_1226	923
362663.ECP_1227	924
362663.ECP_0488	925
362663.ECP_0569	926
362663.ECP_0568	927
362663.ECP_2659	928
362663.ECP_3709	929
362663.ECP_3511	930
362663.ECP_2284	931
362663.ECP_2909	932
362663.ECP_0740	933
362663.ECP_4278	934
362663.ECP_0735	935
362663.ECP_0736	936
362663.ECP_0733	937
362663.ECP_0734	938
362663.ECP_4399	939
362663.ECP_3470	940
362663.ECP_3055	941
362663.ECP_3056	942
362663.ECP_3057	943
362663.ECP_4398	944
362663.ECP_4400	945
362663.ECP_2624	946
362663.ECP_1509	947
362663.ECP_4225	948
362663.ECP_1794	949
362663.ECP_1795	950
362663.ECP_3054	951
362663.ECP_0218	952
362663.ECP_4397	953
362663.ECP_4364	954
362663.ECP_1556	955
362663.ECP_1555	956
362663.ECP_3656	957
362663.ECP_1025	958
362663.ECP_3095	959
362663.ECP_0213	960
362663.ECP_1597	961
362663.ECP_4088	962
362663.ECP_1900	963
362663.ECP_0739	964
362663.ECP_4277	965
362663.ECP_0407	966
362663.ECP_0409	967
362663.ECP_1420	968
362663.ECP_0121	969
362663.ECP_1403	970
362663.ECP_0122	971
362663.ECP_3053	972
362663.ECP_2467	973
362663.ECP_2470	974
362663.ECP_2266	975
362663.ECP_0784	976
362663.ECP_1651	977
362663.ECP_2172	978
362663.ECP_1406	979
362663.ECP_2586	980
362663.ECP_3319	981
362663.ECP_4280	982
362663.ECP_0836	983
362663.ECP_4164	984
362663.ECP_0914	985
362663.ECP_4224	986
362663.ECP_1481	987
362663.ECP_2475	988
362663.ECP_0837	989
362663.ECP_3151	990
362663.ECP_0974	991
362663.ECP_2335	992
362663.ECP_3208	993
362663.ECP_3152	994
362663.ECP_0731	995
362663.ECP_2252	996
362663.ECP_1977	997
362663.ECP_4456	998
362663.ECP_3489	999
362663.ECP_4169	1000
362663.ECP_3706	1001
362663.ECP_3207	1002
362663.ECP_0886	1003
362663.ECP_0408	1004
362663.ECP_3337	1005
362663.ECP_2857	1006
362663.ECP_2268	1007
362663.ECP_3149	1008
362663.ECP_1082	1009
362663.ECP_0915	1010
362663.ECP_0410	1011
362663.ECP_4301	1012
362663.ECP_2336	1013
362663.ECP_2380	1014
362663.ECP_2379	1015
362663.ECP_4059	1016
362663.ECP_0251	1017
362663.ECP_2465	1018
362663.ECP_1329	1019
362663.ECP_0125	1020
362663.ECP_1642	1021
362663.ECP_1975	1022
362663.ECP_1231	1023
362663.ECP_1732	1024
362663.ECP_1731	1025
362663.ECP_2625	1026
362663.ECP_1748	1027
362663.ECP_4455	1028
362663.ECP_1648	1029
362663.ECP_4058	1030
362663.ECP_3340	1031
362663.ECP_2355	1032
362663.ECP_0193	1033
362663.ECP_3341	1034
362663.ECP_0123	1035
362663.ECP_1798	1036
362663.ECP_1623	1037
362663.ECP_1649	1038
362663.ECP_4276	1039
362663.ECP_4275	1040
362663.ECP_4274	1041
362663.ECP_1131	1042
362663.ECP_3102	1043
362663.ECP_0577	1044
362663.ECP_1641	1045
362663.ECP_4300	1046
362663.ECP_0076	1047
362663.ECP_1287	1048
362663.ECP_2176	1049
362663.ECP_2763	1050
362663.ECP_2764	1051
362663.ECP_0134	1052
362663.ECP_0566	1053
362663.ECP_0575	1054
362663.ECP_4299	1055
362663.ECP_3691	1056
362663.ECP_1480	1057
362663.ECP_4226	1058
362663.ECP_1974	1059
362663.ECP_1084	1060
362663.ECP_1083	1061
362663.ECP_0738	1062
362663.ECP_0737	1063
362663.ECP_0696	1064
